passage_id,book,model_key,source_passage,interpretation,distortion_score,notes
1984_000,1984,,"About twenty or thirty of them a week were falling on London at present. Down in the street the wind flapped the torn poster to and fro, and the word INGSOC fitfully appeared and vanished. Newspeak, doublethink, the mutability of the past. He felt as though he were wandering in the forests of the sea bottom, lost in a monstrous world where he himself was the monster. The past was dead, the future was unimaginable. What certainty had he that a single human creature now living was on his side? And what way of knowing that the dominion of the Party would not endure FOR EVER? Like an answer, the three slogans on the white face of the Ministry of Truth came back to him: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH He took a twenty-five cent piece out of his pocket.",,,
1984_001,1984,,"In the better light of the living-room he noticed with interest that there actually was dust in the creases of her face. ‘They do get so noisy,’ she said. ‘They’re disappointed because they couldn’t go to see the hanging, that’s what it is. I’m too busy to take them. and Tom won’t be back from work in time.’ ‘Why can’t we go and see the hanging?’ roared the boy in his huge voice. Want to see the hanging!’ chanted the little girl, still capering round. Some Eurasian prisoners, guilty of war crimes, were to be hanged in the Park that evening, Winston remembered. This happened about once a month, and was a popular spectacle. Children always clamoured to be taken to see it. He took his leave of Mrs Parsons and made for the door.",,,
1984_002,1984,,"He could guess, however, that the book was much older than that. He had seen it lying in the window of a frowsy little junk-shop in a slummy quarter of the town (just what quarter he did not now remember) and had been stricken immediately by an overwhelming desire to possess it. Party members were supposed not to go into ordinary shops (‘dealing on the free market’, it was called), but the rule was not strictly kept, because there were various things, such as shoelaces and razor blades, which it was impossible to get hold of in any other way. He had given a quick glance up and down the street and then had slipped inside and bought the book for two dollars fifty. At the time he was not conscious of wanting it for any particular purpose. He had carried it guiltily home in his briefcase.",,,
1984_003,1984,,"Before the Revolution they had been hideously oppressed by the capitalists, they had been starved and flogged, women had been forced to work in the coal mines (women still did work in the coal mines, as a matter of fact), children had been sold into the factories at the age of six. But simultaneously, true to the Principles of doublethink, the Party taught that the proles were natural inferiors who must be kept in subjection, like animals, by the application of a few simple rules. In reality very little was known about the proles. It was not necessary to know much. So long as they continued to work and breed, their other activities were without importance. Left to themselves, like cattle turned loose upon the plains of Argentina, they had reverted to a style of life that appeared to be natural to them, a sort of ancestral pattern.",,,
1984_004,1984,,"He did not see that the continuity of an oligarchy need not be physical, nor did he pause to reflect that hereditary aristocracies have always been shortlived, whereas adoptive organizations such as the Catholic Church have sometimes lasted for hundreds or thousands of years. The essence of oligarchical rule is not father-to-son inheritance, but the persistence of a certain world-view and a certain way of life, imposed by the dead upon the living. A ruling group is a ruling group so long as it can nominate its successors. The Party is not concerned with perpetuating its blood but with perpetuating itself. WHO wields power is not important, provided that the hierarchical structure remains always the same. All the beliefs, habits, tastes, emotions, mental attitudes that characterize our time are really designed to sustain the mystique of the Party and prevent the true nature of present-day society from being perceived.",,,
1984_005,1984,,"She believed, for instance, having learnt it at school, that the Party had invented aeroplanes. (In his own schooldays, Winston remembered, in the late fifties, it was only the helicopter that the Party claimed to have invented; a dozen years later, when Julia was at school, it was already claiming the aeroplane; one generation more, and it would be claiming the steam engine.) And when he told her that aeroplanes had been in existence before he was born and long before the Revolution, the fact struck her as totally uninteresting. After all, what did it matter who had invented aeroplanes? It was rather more of a shock to him when he discovered from some chance remark that she did not remember that Oceania, four years ago, had been at war with Eastasia and at peace with Eurasia.",,,
1984_006,1984,,"The frightening thing, he reflected for the ten thousandth time as he forced his shoulders painfully backward (with hands on hips, they were gyrating their bodies from the waist, an exercise that was supposed to be good for the back muscles)— the frightening thing was that it might all be true. If the Party could thrust its hand into the past and say of this or that event, IT NEVER HAPPENED— that, surely, was more terrifying than mere torture and death? The Party said that Oceania had never been in alliance with Eurasia. He, Winston Smith, knew that Oceania had been in alliance with Eurasia as short a time as four years ago. But where did that knowledge exist? Only in his own consciousness, which in any case must soon be annihilated.",,,
1984_007,1984,,"But in the same moment, drawing a deep sigh of relief from everybody, the hostile figure melted into the face of Big Brother, black-haired, black-moustachio’d, full of power and mysterious calm, and so vast that it almost filled up the screen. Nobody heard what Big Brother was saying. It was merely a few words of encouragement, the sort of words that are uttered in the din of battle, not distinguishable individually but restoring confidence by the fact of being spoken. Then the face of Big Brother faded away again, and instead the three slogans of the Party stood out in bold capitals: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH But the face of Big Brother seemed to persist for several seconds on the screen, as though the impact that it had made on everyone’s eyeballs was too vivid to wear off immediately.",,,
1984_008,1984,,"‘I wanted to ask you whether you’d got any razor blades,’ he said. ‘Not one!’ said Winston with a sort of guilty haste. ‘I’ve tried all over the place. They don’t exist any longer.’ Everyone kept asking you for razor blades. Actually he had two unused ones which he was hoarding up. There had been a famine of them for months past. At any given moment there was some necessary article which the Party shops were unable to supply. Sometimes it was buttons, sometimes it was darning wool, sometimes it was shoelaces; at present it was razor blades. You could only get hold of them, if at all, by scrounging more or less furtively on the ‘free’ market. ‘I’ve been using the same blade for six weeks,’ he added untruthfully. The queue gave another jerk forward. As they halted he turned and faced Syme again.",,,
1984_009,1984,,"You know perfectly well what is the matter with you. You have known it for years, though you have fought against the knowledge. You suffer from a defective memory. You are unable to remember real events and you persuade yourself that you remember other events which never happened. You have never cured yourself of it, because you did not choose to. There was a small effort of the will that you were not ready to make. Even now, I am well aware, you are clinging to your disease under the impression that it is a virtue. Now we will take an example. At this moment, which power is Oceania at war with?’ ‘When I was arrested, Oceania was at war with Eastasia.’ ‘With Eastasia. And Oceania has always been at war with Eastasia, has it not?’ Winston drew in his breath.",,,
