passage_id,book,passage,moral_keyword_count
1984_000,1984,"And all the while, lest one should be in any doubt as to the reality which Goldstein’s specious claptrap covered, behind his head on the telescreen there marched the endless columns of the Eurasian army — row after row of solid-looking men with expressionless Asiatic faces, who swam up to the surface of the screen and vanished, to be replaced by others exactly similar. The dull rhythmic tramp of the soldiers’ boots formed the background to Goldstein’s bleating voice. Before the Hate had proceeded for thirty seconds, uncontrollable exclamations of rage were breaking out from half the people in the room. The self-satisfied sheep-like face on the screen, and the terrifying power of the Eurasian army behind it, were too much to be borne: besides, the sight or even the thought of Goldstein produced fear and anger automatically.",4
1984_001,1984,"When public trials were happening she had taken her place in the detachments from the Youth League who surrounded the courts from morning to night, chanting at intervals ‘Death to the traitors!’ During the Two Minutes Hate she always excelled all others in shouting insults at Goldstein. Yet she had only the dimmest idea of who Goldstein was and what doctrines he was supposed to represent. She had grown up since the Revolution and was too young to remember the ideological battles of the fifties and sixties. Such a thing as an independent political movement was outside her imagination: and in any case the Party was invincible. It would always exist, and it would always be the same. You could only rebel against it by secret disobedience or, at most, by isolated acts of violence such as killing somebody or blowing something up.",4
1984_002,1984,"In some ways she was far more acute than Winston, and far less susceptible to Party propaganda. Once when he happened in some connexion to mention the war against Eurasia, she startled him by saying casually that in her opinion the war was not happening. The rocket bombs which fell daily on London were probably fired by the Government of Oceania itself, ‘just to keep people frightened’. This was an idea that had literally never occurred to him. She also stirred a sort of envy in him by telling him that during the Two Minutes Hate her great difficulty was to avoid bursting out laughing. But she only questioned the teachings of the Party when they in some way touched upon her own life. Often she was ready to accept the official mythology, simply because the difference between truth and falsehood did not seem important to her.",4
1984_003,1984,"For a moment the lids flitted down over his eyes. He began asking his questions in a low, expressionless voice, as though this were a routine, a sort of catechism, most of whose answers were known to him already. ‘You are prepared to give your lives?’ ‘Yes.’ ‘You are prepared to commit murder?’ ‘Yes.’ ‘To commit acts of sabotage which may cause the death of hundreds of innocent people?’ ‘Yes.’ ‘To betray your country to foreign powers?’ ‘Yes.’ ‘You are prepared to cheat, to forge, to blackmail, to corrupt the minds of children, to distribute habit-forming drugs, to encourage prostitution, to disseminate venereal diseases — to do anything which is likely to cause demoralization and weaken the power of the Party?’ ‘Yes.’ ‘If, for example, it would somehow serve our interests to throw sulphuric acid in a child’s face — are you prepared to do that?’ ‘Yes.’ ‘You are prepared to lose your identity and live out the rest of your life as a waiter or a dock-worker?’ ‘Yes.’ ‘You are prepared to commit suicide, if and when we order you to do so?’ ‘Yes.’ ‘You are prepared, the two of you, to separate and never see one another again?’ ‘No!’ broke in Julia.",4
1984_004,1984,"He did not see that the continuity of an oligarchy need not be physical, nor did he pause to reflect that hereditary aristocracies have always been shortlived, whereas adoptive organizations such as the Catholic Church have sometimes lasted for hundreds or thousands of years. The essence of oligarchical rule is not father-to-son inheritance, but the persistence of a certain world-view and a certain way of life, imposed by the dead upon the living. A ruling group is a ruling group so long as it can nominate its successors. The Party is not concerned with perpetuating its blood but with perpetuating itself. WHO wields power is not important, provided that the hierarchical structure remains always the same. All the beliefs, habits, tastes, emotions, mental attitudes that characterize our time are really designed to sustain the mystique of the Party and prevent the true nature of present-day society from being perceived.",4
1984_005,1984,"On the other hand his actions are not regulated by law or by any clearly formulated code of behaviour. In Oceania there is no law. Thoughts and actions which, when detected, mean certain death are not formally forbidden, and the endless purges, arrests, tortures, imprisonments, and vaporizations are not inflicted as punishment for crimes which have actually been committed, but are merely the wiping-out of persons who might perhaps commit a crime at some time in the future. A Party member is required to have not only the right opinions, but the right instincts. Many of the beliefs and attitudes demanded of him are never plainly stated, and could not be stated without laying bare the contradictions inherent in Ingsoc. If he is a person naturally orthodox (in Newspeak a GOODTHINKER), he will in all circumstances know, without taking thought, what is the true belief or the desirable emotion.",4
1984_006,1984,"He confessed to the assassination of eminent Party members, the distribution of seditious pamphlets, embezzlement of public funds, sale of military secrets, sabotage of every kind. He confessed that he had been a spy in the pay of the Eastasian government as far back as 1968. He confessed that he was a religious believer, an admirer of capitalism, and a sexual pervert. He confessed that he had murdered his wife, although he knew, and his questioners must have known, that his wife was still alive. He confessed that for years he had been in personal touch with Goldstein and had been a member of an underground organization which had included almost every human being he had ever known. It was easier to confess everything and implicate everybody. Besides, in a sense it was all true.",4
1984_007,1984,"He opened his mouth to speak and then did not speak. He could not take his eyes away from the dial. Tell me what you think you remember.’ ‘I remember that until only a week before I was arrested, we were not at war with Eastasia at all. We were in alliance with them. That had lasted for four years. Before that ——’ O’Brien stopped him with a movement of the hand. ‘Some years ago you had a very serious delusion indeed. You believed that three men, three one-time Party members named Jones, Aaronson, and Rutherford — men who were executed for treachery and sabotage after making the fullest possible confession — were not guilty of the crimes they were charged with. You believed that you had seen unmistakable documentary evidence proving that their confessions were false. There was a certain photograph about which you had a hallucination.",4
1984_008,1984,"He wrote: GOD IS POWER He accepted everything. The past never had been altered. Oceania was at war with Eastasia. Oceania had always been at war with Eastasia. Jones, Aaronson, and Rutherford were guilty of the crimes they were charged with. He had never seen the photograph that disproved their guilt. It had never existed, he had invented it. He remembered remembering contrary things, but those were false memories, products of self-deception. Only surrender, and everything else followed. It was like swimming against a current that swept you backwards however hard you struggled, and then suddenly deciding to turn round and go with the current instead of opposing it. Nothing had changed except your own attitude: the predestined thing happened in any case. He hardly knew why he had ever rebelled. The so-called laws of Nature were nonsense. The law of gravity was nonsense.",4
1984_009,1984,"But in the same moment, drawing a deep sigh of relief from everybody, the hostile figure melted into the face of Big Brother, black-haired, black-moustachio’d, full of power and mysterious calm, and so vast that it almost filled up the screen. Nobody heard what Big Brother was saying. It was merely a few words of encouragement, the sort of words that are uttered in the din of battle, not distinguishable individually but restoring confidence by the fact of being spoken. Then the face of Big Brother faded away again, and instead the three slogans of the Party stood out in bold capitals: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH But the face of Big Brother seemed to persist for several seconds on the screen, as though the impact that it had made on everyone’s eyeballs was too vivid to wear off immediately.",3
1984_010,1984,"Here were produced rubbishy newspapers containing almost nothing except sport, crime and astrology, sensational five-cent novelettes, films oozing with sex, and sentimental songs which were composed entirely by mechanical means on a special kind of kaleidoscope known as a versificator. There was even a whole sub-section — Pornosec, it was called in Newspeak — engaged in producing the lowest kind of pornography, which was sent out in sealed packets and which no Party member, other than those who worked on it, was permitted to look at. Three messages had slid out of the pneumatic tube while Winston was working, but they were simple matters, and he had disposed of them before the Two Minutes Hate interrupted him.",3
1984_011,1984,"Before the Revolution they had been hideously oppressed by the capitalists, they had been starved and flogged, women had been forced to work in the coal mines (women still did work in the coal mines, as a matter of fact), children had been sold into the factories at the age of six. But simultaneously, true to the Principles of doublethink, the Party taught that the proles were natural inferiors who must be kept in subjection, like animals, by the application of a few simple rules. In reality very little was known about the proles. It was not necessary to know much. So long as they continued to work and breed, their other activities were without importance. Left to themselves, like cattle turned loose upon the plains of Argentina, they had reverted to a style of life that appeared to be natural to them, a sort of ancestral pattern.",3
1984_012,1984,"The effect would be much the same if the three super-states, instead of fighting one another, should agree to live in perpetual peace, each inviolate within its own boundaries. For in that case each would still be a self-contained universe, freed for ever from the sobering influence of external danger. A peace that was truly permanent would be the same as a permanent war. This — although the vast majority of Party members understand it only in a shallower sense — is the inner meaning of the Party slogan: WAR IS PEACE. Winston stopped reading for a moment. Somewhere in remote distance a rocket bomb thundered. The blissful feeling of being alone with the forbidden book, in a room with no telescreen, had not worn off.",3
1984_013,1984,"These causes do not operate singly, and as a rule all four of them are present in some degree. A ruling class which could guard against all of them would remain in power permanently. Ultimately the determining factor is the mental attitude of the ruling class itself. After the middle of the present century, the first danger had in reality disappeared. Each of the three powers which now divide the world is in fact unconquerable, and could only become conquerable through slow demographic changes which a government with wide powers can easily avert. The second danger, also, is only a theoretical one. The masses never revolt of their own accord, and they never revolt merely because they are oppressed. Indeed, so long as they are not permitted to have standards of comparison, they never even become aware that they are oppressed.",3
1984_014,1984,"But in any case an elaborate mental training, undergone in childhood and grouping itself round the Newspeak words CRIMESTOP, BLACKWHITE, and DOUBLETHINK, makes him unwilling and unable to think too deeply on any subject whatever. A Party member is expected to have no private emotions and no respites from enthusiasm. He is supposed to live in a continuous frenzy of hatred of foreign enemies and internal traitors, triumph over victories, and self-abasement before the power and wisdom of the Party. The discontents produced by his bare, unsatisfying life are deliberately turned outwards and dissipated by such devices as the Two Minutes Hate, and the speculations which might possibly induce a sceptical or rebellious attitude are killed in advance by his early acquired inner discipline. The first and simplest stage in the discipline, which can be taught even to young children, is called, in Newspeak, CRIMESTOP.",3
1984_015,1984,"They wouldn’t shoot me for going off the rails just once?’ ‘Are you guilty?’ said Winston. ‘Of course I’m guilty!’ cried Parsons with a servile glance at the telescreen. ‘You don’t think the Party would arrest an innocent man, do you?’ His frog-like face grew calmer, and even took on a slightly sanctimonious expression. ‘Thoughtcrime is a dreadful thing, old man,’ he said sententiously. It can get hold of you without your even knowing it. Do you know how it got hold of me? There I was, working away, trying to do my bit — never knew I had any bad stuff in my mind at all. And then I started talking in my sleep. Do you know what they heard me saying?’ He sank his voice, like someone who is obliged for medical reasons to utter an obscenity. ‘“Down with Big Brother!” Yes, I said that!",3
1984_016,1984,"You know perfectly well what is the matter with you. You have known it for years, though you have fought against the knowledge. You suffer from a defective memory. You are unable to remember real events and you persuade yourself that you remember other events which never happened. You have never cured yourself of it, because you did not choose to. There was a small effort of the will that you were not ready to make. Even now, I am well aware, you are clinging to your disease under the impression that it is a virtue. Now we will take an example. At this moment, which power is Oceania at war with?’ ‘When I was arrested, Oceania was at war with Eastasia.’ ‘With Eastasia. And Oceania has always been at war with Eastasia, has it not?’ Winston drew in his breath.",3
1984_017,1984,"Already our control over matter is absolute.’ For a moment Winston ignored the dial. He made a violent effort to raise himself into a sitting position, and merely succeeded in wrenching his body painfully. ‘But how can you control matter?’ he burst out. ‘You don’t even control the climate or the law of gravity. And there are disease, pain, death ——’ O’Brien silenced him by a movement of his hand. ‘We control matter because we control the mind. You will learn by degrees, Winston. There is nothing that we could not do. I could float off this floor like a soap bubble if I wish to. I do not wish to, because the Party does not wish it. You must get rid of those nineteenth-century ideas about the laws of Nature. We make the laws of Nature.’ ‘But you do not! You are not even masters of this planet.",3
1984_018,1984,"It was an enormous pyramidal structure of glittering white concrete, soaring up, terrace after terrace, 300 metres into the air. From where Winston stood it was just possible to read, picked out on its white face in elegant lettering, the three slogans of the Party: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH The Ministry of Truth contained, it was said, three thousand rooms above ground level, and corresponding ramifications below. Scattered about London there were just three other buildings of similar appearance and size. So completely did they dwarf the surrounding architecture that from the roof of Victory Mansions you could see all four of them simultaneously. They were the homes of the four Ministries between which the entire apparatus of government was divided. The Ministry of Truth, which concerned itself with news, entertainment, education, and the fine arts. The Ministry of Peace, which concerned itself with war.",2
1984_019,1984,"He could guess, however, that the book was much older than that. He had seen it lying in the window of a frowsy little junk-shop in a slummy quarter of the town (just what quarter he did not now remember) and had been stricken immediately by an overwhelming desire to possess it. Party members were supposed not to go into ordinary shops (‘dealing on the free market’, it was called), but the rule was not strictly kept, because there were various things, such as shoelaces and razor blades, which it was impossible to get hold of in any other way. He had given a quick glance up and down the street and then had slipped inside and bought the book for two dollars fifty. At the time he was not conscious of wanting it for any particular purpose. He had carried it guiltily home in his briefcase.",2
1984_020,1984,"The little sandy-haired woman gave a squeak of mingled fear and disgust. Goldstein was the renegade and backslider who once, long ago (how long ago, nobody quite remembered), had been one of the leading figures of the Party, almost on a level with Big Brother himself, and then had engaged in counter-revolutionary activities, had been condemned to death, and had mysteriously escaped and disappeared. The programmes of the Two Minutes Hate varied from day to day, but there was none in which Goldstein was not the principal figure. He was the primal traitor, the earliest defiler of the Party’s purity. All subsequent crimes against the Party, all treacheries, acts of sabotage, heresies, deviations, sprang directly out of his teaching.",2
1984_021,1984,"The Brotherhood, its name was supposed to be. There were also whispered stories of a terrible book, a compendium of all the heresies, of which Goldstein was the author and which circulated clandestinely here and there. It was a book without a title. People referred to it, if at all, simply as THE BOOK. But one knew of such things only through vague rumours. Neither the Brotherhood nor THE BOOK was a subject that any ordinary Party member would mention if there was a way of avoiding it. In its second minute the Hate rose to a frenzy. People were leaping up and down in their places and shouting at the tops of their voices in an effort to drown the maddening bleating voice that came from the screen. The little sandy-haired woman had turned bright pink, and her mouth was opening and shutting like that of a landed fish.",2
1984_022,1984,"A hideous ecstasy of fear and vindictiveness, a desire to kill, to torture, to smash faces in with a sledge-hammer, seemed to flow through the whole group of people like an electric current, turning one even against one’s will into a grimacing, screaming lunatic. And yet the rage that one felt was an abstract, undirected emotion which could be switched from one object to another like the flame of a blowlamp. Thus, at one moment Winston’s hatred was not turned against Goldstein at all, but, on the contrary, against Big Brother, the Party, and the Thought Police; and at such moments his heart went out to the lonely, derided heretic on the screen, sole guardian of truth and sanity in a world of lies.",2
1984_023,1984,"In the better light of the living-room he noticed with interest that there actually was dust in the creases of her face. ‘They do get so noisy,’ she said. ‘They’re disappointed because they couldn’t go to see the hanging, that’s what it is. I’m too busy to take them. and Tom won’t be back from work in time.’ ‘Why can’t we go and see the hanging?’ roared the boy in his huge voice. Want to see the hanging!’ chanted the little girl, still capering round. Some Eurasian prisoners, guilty of war crimes, were to be hanged in the Park that evening, Winston remembered. This happened about once a month, and was a popular spectacle. Children always clamoured to be taken to see it. He took his leave of Mrs Parsons and made for the door.",2
1984_024,1984,"With those children, he thought, that wretched woman must lead a life of terror. Another year, two years, and they would be watching her night and day for symptoms of unorthodoxy. Nearly all children nowadays were horrible. What was worst of all was that by means of such organizations as the Spies they were systematically turned into ungovernable little savages, and yet this produced in them no tendency whatever to rebel against the discipline of the Party. On the contrary, they adored the Party and everything connected with it. The songs, the processions, the banners, the hiking, the drilling with dummy rifles, the yelling of slogans, the worship of Big Brother — it was all a sort of glorious game to them. All their ferocity was turned outwards, against the enemies of the State, against foreigners, traitors, saboteurs, thought-criminals.",2
1984_025,1984,"About twenty or thirty of them a week were falling on London at present. Down in the street the wind flapped the torn poster to and fro, and the word INGSOC fitfully appeared and vanished. Newspeak, doublethink, the mutability of the past. He felt as though he were wandering in the forests of the sea bottom, lost in a monstrous world where he himself was the monster. The past was dead, the future was unimaginable. What certainty had he that a single human creature now living was on his side? And what way of knowing that the dominion of the Party would not endure FOR EVER? Like an answer, the three slogans on the white face of the Ministry of Truth came back to him: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH He took a twenty-five cent piece out of his pocket.",2
