passage_id,book,passage,moral_keyword_count
iron_heel_000,iron_heel,"A little

 less than a hundred years ago, and a little more than six hundred

 years after her death, the confession of Pervaise was discovered in

 the secret archives of the Vatican. It is perhaps well to tell a

 little something about this obscure document, which, in the main, is

 of interest to the historian only. Pervaise was an American, of French descent, who in 1913 A.D., was

    lying in the Tombs Prison, New York City, awaiting trial for

    murder. From his confession we learn that he was not a criminal. In an insane fit of

    jealousy he killed his wife—a very common act in those times. Pervaise was mastered by the fear of death, all of which is

    recounted at length in his confession.",2
iron_heel_001,iron_heel,"Twenty-eight hundred of them had been

annihilated in a tremendous series of dynamite explosions in Oregon,

and in a similar manner, a number of train loads, at different times

and places, had been destroyed. So it was that the regular troops

fought for their lives as well as did the farmers. As for the militia, the militia law of 1903 was put into effect, and

the workers of one state were compelled, under pain of death, to shoot

down their comrade-workers in other states. Of course, the militia law

did not work smoothly at first. Many militia officers were murdered,

and many militiamen were executed by drumhead court martial. Ernest’s

prophecy was strikingly fulfilled in the cases of Mr. Both were eligible for the militia, and both were drafted to

serve in the punitive expedition that was despatched from California

against the farmers of Missouri.",2
iron_heel_002,iron_heel,"The Iron Heel will not be able to prevent it, and in the end

caste will destroy the Iron Heel. The oligarchs have already developed

caste among themselves; but wait until the favored unions develop

caste. The Iron Heel will use all its power to prevent it, but it will

fail. “In the favored unions are the flower of the American workingmen. They have become members of those unions

through competition for place. Every fit workman in the United States

will be possessed by the ambition to become a member of the favored

unions. The Oligarchy will encourage such ambition and the consequent

competition. Thus will the strong men, who might else be

revolutionists, be won away and their strength used to bolster the

Oligarchy. “On the other hand, the labor castes, the members of the favored

unions, will strive to make their organizations into close

corporations.",2
iron_heel_003,iron_heel,"Therefore, against your strength the government will turn

the regular army, the navy, the militia, the police—in short, the whole

organized war machinery of the United States. Where will your strength

be then?”



Dismay sat on their faces, and before they could recover, Ernest struck

again. “Do you remember, not so long ago, when our regular army was only fifty

thousand? Year by year it has been increased until to-day it is three

hundred thousand.”



Again he struck. While you diligently pursued that favorite phantom of

yours, called profits, and moralized about that favorite fetich of

yours, called competition, even greater and more direful things have

been accomplished by combination. There is the militia.”



“It is our strength!” cried Mr.",2
iron_heel_004,iron_heel,"Yet during those first days of our love, fear of the future

came often to me when I thought of the violence and impetuosity of his

love-making. No woman was ever blessed

with a gentler, tenderer husband. This gentleness and violence on his

part was a curious blend similar to the one in his carriage of

awkwardness and ease. He never got over it,

and it was delicious. His behavior in our drawing-room reminded me of a

careful bull in a china shop.[1]



 [1] In those days it was still the custom to fill the living rooms

 with bric-a-brac. They had not discovered simplicity of living. Such

 rooms were museums, entailing endless labor to keep clean. The

 dust-demon was the lord of the household. There were a myriad devices

 for catching dust, and only a few devices for getting rid of it.",2
iron_heel_005,iron_heel,"In 1835 A.D., the

 General Assembly of the Presbyterian Church resolved that: “_slavery

 is recognized in both the Old and the New Testaments, and is not

 condemned by the authority of God._” The Charleston Baptist

 Association issued the following, in an address, in 1835 A.D.: “_The

 right of masters to dispose of the time of their slaves has been

 distinctly recognized by the Creator of all things, who is surely at

 liberty to vest the right of property over any object whomsoever He

 pleases._” The Rev. Simon, Doctor of Divinity and professor in

 the Randolph-Macon Methodist College of Virginia, wrote: “_Extracts

 from Holy Writ unequivocally assert the right of property in slaves,

 together with the usual incidents to that right. The right to buy and

 sell is clearly stated.",1
iron_heel_006,iron_heel,"To escape death he would

    have done anything, and the police agents prepared him by assuring

    him that he could not possibly escape conviction of murder in the

    first degree when his trial came off. In those days, murder in the

    first degree was a capital offense. The guilty man or woman was

    placed in a specially constructed death-chair, and, under the

    supervision of competent physicians, was destroyed by a current of

    electricity. This was called electrocution, and it was very popular

    during that period. Anaesthesia, as a mode of compulsory death, was

    not introduced until later. This man, good at heart but with a ferocious animalism close at the

    surface of his being, lying in jail and expectant of nothing less

    than death, was prevailed upon by the agents of the Iron Heel to

    throw the bomb in the House of Representatives.",2
iron_heel_007,iron_heel,"The sun of the small capitalists is

setting. Nor is it in your power even to make

it stand still. You are perishing, and you are doomed to perish utterly

from the face of society. “This is the fiat of evolution. It is the word of God. Primitive man was a puny creature hiding in

the crevices of the rocks. He combined and made war upon his

carnivorous enemies. Primitive man was a

combinative beast, and because of it he rose to primacy over all the

animals. And man has been achieving greater and greater combinations

ever since. It is combination _versus_ competition, a thousand

centuries long struggle, in which competition has always been worsted. Whoso enlists on the side of competition perishes.”



“But the trusts themselves arose out of competition,” Mr. “And the trusts themselves destroyed

competition.",2
iron_heel_008,iron_heel,"We had each other for

eighteen precious months, and we were not lonely, for there was always

a coming and going of leaders and comrades—strange voices from the

under-world of intrigue and revolution, bringing stranger tales of

strife and war from all our battle-line. And there was much fun and

delight. We were not mere gloomy conspirators. We toiled hard and

suffered greatly, filled the gaps in our ranks and went on, and through

all the labour and the play and interplay of life and death we found

time to laugh and love. There were artists, scientists, scholars,

musicians, and poets among us; and in that hole in the ground culture

was higher and finer than in the palaces of wonder-cities of the

oligarchs. In truth, many of our comrades toiled at making beautiful

those same palaces and wonder-cities.[2]



 [2] This is not braggadocio on the part of Avis Everhard.",2
iron_heel_009,iron_heel,"Descendants of these original colonists

 were for a while inordinately proud of their genealogy; but in time

 the blood became so widely diffused that it ran in the veins

 practically of all Americans. “Ernest was right,” he told me, as soon as he had returned home. “Ernest is a very remarkable young man, and I’d rather see you his wife

than the wife of Rockefeller himself or the King of England.”



“What’s the matter?” I asked in alarm. “The Oligarchy is about to tread upon our faces—yours and mine. Wickson

as much as told me so. He was very kind—for an oligarch. He offered to

reinstate me in the university. What do you think of that? He, Wickson,

a sordid money-grabber, has the power to determine whether I shall or

shall not teach in the university of the state.",2
