passage_id,book,passage,moral_keyword_count
time_machine_000,time_machine,"Until he set to work--the workers

cut each other's throats, and murdered a Chinaman or a Labour policeman

at times, and left the rest of us in peace. Such a thing hasn't been this gross of years. Eh!--but 'tis ill

on small folks when the great fall out! It's ill.""



""Did you say--there had not been--what?--for a gross of years?""



""Eh?"" said the old man. The old man said something about clipping his words, and made him repeat

this a third time. ""Fighting and slaying, and weapons in hand, and fools

bawling freedom and the like,"" said the old man. ""Not in all my life has

there been that. These are like the old days--for sure--when the Paris

people broke out--three gross of years ago. That's what I mean hasn't

been.",1
time_machine_001,time_machine,"He saw a multitude of shadows had sprung into

aggressive existence, seemed rushing up, broadening, widening, growing

with steady swiftness--to leap suddenly back and return reinforced. The

song and the tramping had ceased. The unanimous march, he discovered, was

arrested, there were eddies, a flow sideways, shouts of ""The lights!""

Voices were crying together one thing. In this dancing death of the lights the

area of the street had suddenly become a monstrous struggle. The huge

white globes became purple-white, purple with a reddish glow, flickered,

flickered faster and faster, fluttered between light and extinction,

ceased to flicker and became mere fading specks of glowing red in a vast

obscurity. In ten seconds the extinction was accomplished, and there was

only this roaring darkness, a black monstrosity that had suddenly

swallowed up those glittering myriads of men. He felt invisible forms about him; his arms were gripped.",1
time_machine_002,time_machine,"""We want you to come, Sire,"" panted the newcomer, and Graham glancing at

his face again, saw a new cut had changed from white to red on his

forehead, and a couple of little trickles of blood starting therefrom. ""Your people call for you.""



""Come where? My people?""



""To the hall about the markets. Your life is in danger here. We learned but just in time. The Council has decided--this very

day--either to drug or kill you. The people are

drilled, the Wind-Vane police, the engineers, and half the way-gearers

are with us. The whole city shouts

against the Council. We have arms."" He wiped the blood with his hand. ""Your life here is not worth--""



""But why arms?""



""The people have risen to protect you, Sire. What?""



He turned quickly as the man who had first come down made a hissing with

his teeth.",1
time_machine_003,time_machine,"Then he noticed there were no books, no newspapers, no

writing materials. ""The world has changed indeed,"" he said. He observed one entire side of the outer room was set with rows of

peculiar double cylinders inscribed with green lettering on white that

harmonized with the decorative scheme of the room, and in the centre of

this side projected a little apparatus about a yard square and having a

white smooth face to the room. He had a transitory

idea that these cylinders might be books, or a modern substitute for

books, but at first it did not seem so. The lettering on the cylinders puzzled him. At first sight it seemed like

Russian. Then he noticed a suggestion of mutilated English about certain

of the words. ""Thi Man huwdbi Kin"" forced itself on him as ""The Man who would be King.""



""Phonetic spelling,"" he said.",1
time_machine_004,time_machine,"Every

city now is a prison. Mammon grips the key in his hand. Myriads,

countless myriads, toil from the cradle to the grave. Yes, far worse than in your time. All about us,

beneath us, sorrow and pain. All the shallow delight of such life as you

find about you, is separated by just a little from a life of wretchedness

beyond any telling. Yes, the poor know it--they know they suffer. These

countless multitudes who faced death for you two nights since--! You owe

your life to them.""



""Yes,"" said Graham, slowly. I owe my life to them.""



""You come,"" she said, ""from the days when this new tyranny of the cities

was scarcely beginning. In your days the

feudal war lords had gone, and the new lordship of wealth had still to

come. Half the men in the world still lived out upon the free

countryside.",2
time_machine_005,time_machine,"But you--you who come from a happier age--it is to

you the people look. To you.""



He looked at her face. Her eyes were bright with unshed tears. He felt

a rush of emotion. For a moment he forgot this city, he forgot the

race, and all those vague remote voices, in the immediate humanity of

her beauty. ""But what am I to do?"" he said with his eyes upon her. ""Rule,"" she answered, bending towards him and speaking in a low tone. ""Rule the world as it has never been ruled, for the good and happiness of

men. For you might rule it--you could rule it. All over the world the people are stirring. It

wants but a word--but a word from you--to bring them all together. Even

the middle sort of people are restless--unhappy. ""They are not telling you the things that are happening.",1
time_machine_006,time_machine,"There was a heavy thud, a

concussion that made their seat shiver. The passers-by stopped, shouted

to one another. The old man was full of questions; he shouted to a man

who passed near. Graham, emboldened by his example, got up and accosted

others. He returned to the seat and found the old man muttering vague

interrogations in an undertone. For a while they said nothing to

one another. The sense of this gigantic struggle, so near and yet so remote, oppressed

Graham's imagination. Was this old man right, was the report of the

people right, and were the revolutionaries winning? Or were they all in

error, and were the red guards driving all before them? At any time the

flood of warfare might pour into this silent quarter of the city and

seize upon him again. It behoved him to learn all he could while there

was time.",1
time_machine_007,time_machine,"His face was white as he turned blinking towards

her. ""I must fetch a doctor,"" he said. ""It is either death or a fit. Is

there a doctor in the village? Where is a doctor to be found?""









CHAPTER II



THE TRANCE





The state of cataleptic rigour into which this man had fallen, lasted for

an unprecedented length of time, and then he passed slowly to the flaccid

state, to a lax attitude suggestive of profound repose. Then it was his

eyes could be closed. He was removed from the hotel to the Boscastle surgery, and from the

surgery, after some weeks, to London. But he still resisted every attempt

at reanimation. After a time, for reasons that will appear later, these

attempts were discontinued.",1
time_machine_008,time_machine,"CHAPTER XII



OSTROG





Graham could now take a clearer view of his position. For a long time yet

he wandered, but after the talk of the old man his discovery of this

Ostrog was clear in his mind as the final inevitable decision. One thing

was evident, those who were at the headquarters of the revolt had

succeeded very admirably in suppressing the fact of his disappearance. But every moment he expected to hear the report of his death or of his

recapture by the Council. Presently a man stopped before him. ""Near a dozand,"" said the man, ""a dozand men!"" and hurried on. A number of men and a girl passed in the darkness, gesticulating and

shouting: ""Capitulated! Given up!"" ""A dozand of men."" ""Two dozand of

men."" ""Ostrog, Hurrah! Ostrog, Hurrah!"" These cries receded, became

indistinct.",1
time_machine_009,time_machine,"Graham looked down, and there were spots of blood at his feet. He looked

up again in a strange excitement. He remained motionless--his every sense intent upon the flickering patch

of darkness. He became aware of some faint, remote, dark specks floating

lightly through the outer air. They came down towards him, fitfully,

eddyingly, and passed aside out of the uprush from the fan. A gleam of

light flickered, the specks flashed white, and then the darkness came

again. Warmed and lit as he was, he perceived that it was snowing within

a few feet of him. Graham walked across the room and came back to the ventilator again. He

saw the head of a man pass near. There was a sound of whispering. Then a

smart blow on some metallic substance, effort, voices, and the vanes

stopped.",1
