passage_id,book,passage,moral_keyword_count
we_000,we,"But for you they are

perhaps more mysterious and hard to understand than the binom of

Newton. Let me explain: an ancient sage once said a clever thing

(accidentally, beyond doubt). He said, ""Love and Hunger rule the

world."" Consequently, to dominate the world, man had to win a

victory over hunger after paying a very high price. I refer to the

great Two Hundred Years' War, the war between the city and the land. Probably on account of religious prejudices, the primitive peasants

stubbornly held on to their ""bread.""[1] In the 35th year before the

foundation of the United State, our contemporary petroleum food was

invented. True, only about two-tenths of the population of the globe

did not die out. But how beautifully shining the face of the earth

became when it was cleared of its impurities!",3
we_001,we,"But as we entered, R- moved

one chair out of place, then another,--the room became confused,

everything lost the established order and seemed to violate every

rule of Euclid's geometry. R- remained the same as before; in Taylor

and in mathematics he always lagged at the tail of the class. We recalled Plappa, how we boys used to paste the whole surface

of his glass legs with paper notes expressing our thanks (we all

loved Plappa). We recalled our priest (it goes without saying that

we were taught not the ""law"" of ancient religion but the law of

the United State). Our priest had a very powerful voice; a real

hurricane would come out of the megaphone. And we children would

yell the prescribed texts after him with all our lung-power.",2
we_002,we,"You'd better hurry up, my boy, or

we poets will have produced such a devilish lot that even your

_Integral_ will be unable to lift the cargo. 'Every day from eight

to eleven' ..."" R- wagged his head and scratched the back of it. The back of his head is square; it looks like a little valise (I

recalled for some reason an ancient painting ""In the Cab""). ""You too are writing for the _Integral_? What did you write today, for instance?""



""Today I did not write; today I was busy with something else.""

""B-b-busy"" sprinkled straight into my face. Well, if you insist I'll tell you. I was

busy with the Death Sentence. I was putting the Death Sentence into

verse. An idiot--and to be frank, one of our poets.... For two

years we all lived side by side with him and nothing seemed wrong.",2
we_003,we,"_Twenty minutes later_:



On the plane of this paper, in a world of two dimensions, these

lines follow each other, but in another world they.... I am losing

the sense for figures.... Perhaps two hundred or two

hundred thousand!... It seems so strange, quietly, deliberately, measuring every word,

to write down my adventure with R-. Imagine yourself sitting down

at your own bed, crossing your legs, watching curiously how you

yourself shrivel in the very same bed. My mental state is similar to

that. When R-13 came in I was perfectly quiet and normal. I began with

sincere admiration to tell him how wonderfully he succeeded in

versifying the death sentence of that insane man, and that his

poem more than anything else had smothered and annihilated the

transgressor of the law.",2
we_004,we,"very.""



""Thou lovest fog, dost thou?""



This ancient, long-forgotten _thou_--the thou of a master to his

slave--penetrated me slowly, sharply.... This

too was inevitable, was good. ""Yes, good ..."" I said aloud to myself, and then to her, ""I hate

fog. I am afraid of fog.""



""Then you love it. For if you fear it because it is stronger than

you, hate it because you fear it, you love it. For you cannot

subject it to yourself. One loves only the things one cannot

conquer.""



""Yes, that is so. that is precisely why I....""



We were walking--as one. Somewhere beyond the fog the sun was

singing in a faint tone, gradually swelling, filling the air with

tension and with pearl and gold and rose and red....",2
we_005,we,"All seemed one, humanized machine and mechanized humans. It was the most magnificent, the most stirring beauty, harmony,

music! And I descended and mingled

with them, fused with their mass, caught in the rhythm of steel and

glass. Their movements were measured, tense and round. Their cheeks

were colored with health, their mirror-like foreheads not clouded by

the insanity of thinking. I was floating upon a mirror-like sea. Suddenly one of them turned toward me his care-free

face. ""Well, better today?""



""What better?""



""You were not here yesterday. And we thought something serious....""

His forehead was shining; a childish and innocent smile. My blood rushed to my face. No, I could not lie, facing those eyes. I remained silent; I was drowning.... Above, the shiny round white

porcelain face appeared in the hatchway.",2
we_006,we,"I was in a state of temporary death. This state was known to the

ancients, but as far as I am informed it is unknown to us. I have

no conception of how long I was dead, probably not longer than five

or ten seconds, but after awhile I arose from the dead and opened

my eyes. But I felt I was falling down--down--down. I

stretched out my hand to attach myself to something but the rough

wall scratched my fingers; it was running away from me, upward. I

felt blood on my fingers. It was clear that all this was not merely

a play of my sick imagination. I heard my own frequent, trembling breaths. (I am not ashamed to

confess this, it was all unexpected and incomprehensible.) A minute,

two, three passed; I was still going down.",2
we_007,we,"This is that

divine justice of which those stone-housed ancients dreamed, lit by

the naive pink rays of the dawn of history. Their ""God"" punished

sacrilege as a capital crime. You Uranians, morose and as black as the ancient Spaniards, who

were wise in knowing so well how to burn at the stake, you are

silent; I think you agree with me. But I hear you, pink Venerians,

saying something about ""tortures, executions, return to barbarism.""

My dear Venerians, I pity you! You are incapable of philosophical,

mathematical thinking. Human history moves upward in circles,

like an aero. The circles are at times golden, sometimes they are

bloody, but all have 360 degrees. They go from 0° to 10°, 20°, 200°,

360°,--and then again 0°. Yes, we have returned to zero.",2
we_008,we,"Did you ever

think it was possible? They are busy hunting us _there_,--let them! You are delirious!""



Her smile was light and cheerful and I too, was smiling; the earth

was drunken, cheerful, light, floating.... RECORD TWENTY-EIGHT



  Both of Them

  Entropy and Energy

  The Opaque Part of the Body





If your world is similar to the world of the ancients, then you may

easily imagine that one day you suddenly come upon a sixth or a

seventh continent, upon some Atlantis, and you find there unheard

of cities, labyrinths, people flying through the air without the

aid of wings or aeros, stones lifted into the air by the power of

a gaze,--in brief, imagine that you see things that cannot come to

your mind even if you suffer from dream-sickness. That is how I feel

now.",2
we_009,we,"It is perhaps for the first time in the history of the last few

decades that a Russian book, inspired by Russian life, written in

Russia and in the Russian language, should see its first light not

in Russia but abroad, and not in the language it was originally

written but translated into a foreign tongue. During the darkest

years of Russian history, in the 'forties, 'sixties, 'eighties and

'nineties of the last century, many Russian writers were forced by

oppression and reaction to live abroad and to write abroad, yet

their writings would reach Russia, as they were intended primarily

for the Russian reader and Russian life. Most of Turgeniev's novels

were written while he was in France, and with the exception of his

last short story which he dictated on his deathbed, all his novels

and stories were written in Russian.",1
we_010,we,"In 1911 this service exiled me from

Petrograd and I was forced to spend two years in a non-populated

place in Lachta. There, in the midst of the white winter silence

and the green summer silence, I wrote my _Provincial_. After that

the late Ismaylov expressed in print his belief that I wore very

high boots and was a long-haired provincial type, carrying a heavy

stick, and he was later very much surprised that I 'didn't look a

bit like that.' Incidentally, 'not a bit like that' I became in

England where, during the War, I spent about two years, building

ships and visiting the ruins of ancient castles. I listened to the

banging of the German Zeppelin bombs and wrote a short novel _The

Islanders_.",1
we_011,we,"A

thousand years ago your heroic ancestors subjected the whole earth

to the power of the United State. A still more glorious task is

before you,--the integration of the indefinite equation of the

Cosmos by the use of the glass, electric, fire-breathing _Integral_. Your mission is to subjugate to the grateful yoke of reason the

unknown beings who live on other planets, and who are perhaps still

in the primitive state of freedom. If they will not understand that

we are bringing them a mathematically faultless happiness, our duty

will be to force them to be happy. But before we take up arms, we

shall try the power of words.",1
we_012,we,"The one to my right, I-330, apparently caught my confused eye, for

she said with a sigh, ""Yes, alas!""



I don't deny that this exclamation was quite in place, but again

there was something in her face or in her voice.... With an abruptness unusual for me, I said, ""Why 'alas'? Science is

developing and if not now, then within fifty or one hundred years--""



""Even the noses will--""



""Yes, noses!"" This time I almost shouted, ""Since there is still a

reason, no matter what, for envy.... Since my nose is button-like

and someone else's is--""



""Well your nose is rather classic, as they would say in the ancient

days, although your hands--No, no, show me your hands!""



I hate to have anyone look at my hands; they are covered with

long hair,--a stupid atavism.",1
we_013,we,"I admit humanity acquired this habit of a sedentary form of life not

without difficulty and not at once. When the Two Hundred Years' War

had destroyed all the roads which later were overgrown with grass,

it was probably very difficult at first. It seemed uncomfortable to

live in cities which were cut off from each other by green debris. Man soon after he lost his tail probably did not

learn at once how to chase away flies without its help. I am almost

sure that at first he was even lonesome without his tail, but now,

can you imagine yourself with a tail? Or can you imagine yourself

walking in the street naked, without clothes? (It is possible you go

without clothes still.) Here we have the same case.",1
we_014,we,"By the way, I just thought of that Number whom I met yesterday,

the double-curved one like the letter S; I think I have seen him

several times coming out of the Bureau of the Guardians. Now I

understand why I felt such an instinctive respect for him and a

kind of awkwardness when that strange I-330 at his side.... I must

confess that, that I-- ... they ring the bell, time to sleep, it is

twenty-two-thirty. RECORD FOUR



  The Wild Man with a Barometer

  Epilepsy

  If





Until today everything in life seemed to me clear (that is why, I

think, I always had a sort of partiality toward the word ""clear""),

but today ... First, I really was assigned

to auditorium 112 as she said, although the probability was as

500:10,000,000 or 1:20,000. (500 is the number of auditoriums and

there are 10,000,000 Numbers.) And second ...",1
we_015,we,"[1] This word came down to us for use only as a poetic form, for the

chemical constitution of this substance is unknown to us. Accordingly the 0.2 which survived, have enjoyed the greatest

happiness in the bosom of the United State. But is it not clear that

supreme bliss and envy are only the numerator and the denominator

respectively, of the same fraction, happiness? What sense would the

innumerable sacrifices of the Two Hundred Years' War have for us

if a reason were left in our life for jealousy? Yet such a reason

persisted because there remained button-like noses and classical

noses (_Cf_: our conversation during the promenade). For there were

some whose love was sought by everyone and others whose love was

sought by no one.",1
we_016,we,"It is clear that under such circumstances there is no more reason

for envy or jealousy. The denominator of the fraction of happiness

is reduced to zero and the whole fraction is thus converted into

a magnificent infiniteness. The thing which was for the ancients

the source of innumerable stupid tragedies has been converted in

our time into an harmonious, agreeable and useful function of the

organism, a function like sleep, like physical labor, the taking

of food, digestion, etc., etc. Hence you see how the great power

of logic purifies everything it happens to touch. Oh, if only you

unknown readers can conceive this divine power! If you will only

learn to follow it to the end!",1
we_017,we,"Therefore I must point out now that sad as it may be, the process

of hardening and crystallization of life has evidently not been

completed even here in our State. A few steps remain to be made

before we reach the ideal. The ideal (it's clear), is to be found

where nothing _happens_, but here.... I will give you an example: in

the State paper I read that in two days the holiday of Justice will

be celebrated on the Plaza of the Cube. This means that again some

Number has impeded the smooth run of the great State machine. Again

something that was not foreseen, or forecalculated _happened_. True, it occurred during the

personal hour, that is during the time specifically assigned to

unforeseen circumstances, yet.... At about sixteen (to be exact, ten minutes to sixteen), I was at

home. Suddenly the telephone: ""D-503?""--a woman's voice.",1
we_018,we,"""This is my most beloved--"" she suddenly caught herself (again a

smile,--bite, and white sharp teeth), ""to be more exact, the most

nonsensical of all 'apartments'.""



""Or to be most exact, of all the States. Thousands of microscopic

States, fighting eternal wars, pitiless like--""



""Oh yes, it's clear,"" said I-330 with apparent sincerity. We passed through a room where we found a few small children's beds

(children in those days were also private property). Then more

rooms, glimmering mirrors, sombre closets, unbearably loud-colored

divans, an enormous ""fireplace,"" a large mahogany bed. Our

contemporary beautiful, transparent, eternal glass was represented

here only by pitiful, delicate, tiny squares of windows. ""And to think; here there was love 'just so'; they burned and

tortured themselves"" (again the curtain of the eyes was lowered),

""What a stupid, uneconomical spending of human energy.",1
we_019,we,"""Why do I sit here enduring this smile with such resignation and

what is this all about? And why all these strange

sensations, this irritating, repellent female, this strange game?""



The door of the closet slammed; there was the rustle of silk. I

felt it difficult to restrain myself from getting up and, and.... I

don't remember exactly; probably I wanted to tell her a number of

disagreeable things. She was dressed in a short bright-yellowish dress, black hat, black

stockings. The dress was of light silk,--I saw clearly very long

black stockings above the knees, an uncovered neck and the shadow

between.... ""It's clear that you want to seem original. But is it possible that

you--?""



""It is clear,"" interrupted I-330, ""that to be original means to

stand out among others; consequently to be original means to violate

the law of equality.",1
