passage_id,book,model_key,model_name,s_f1,s_f2,s_f3,s_f4,i_f1,i_f2,i_f3,i_f4,delta_f1,delta_f2,delta_f3,delta_f4,efs,weight_mode
1984_000,1984,gemma,gemma3:4b,0.16565,1.0,0.2849,0.621118,0.46855,1.0,0.50504,0.930233,-0.3029,0.0,-0.22014,-0.309115,-0.7451687259820561,learned
1984_001,1984,gemma,gemma3:4b,0.25465,1.0,0.250308,2.941176,0.2787,1.0,0.575025,1.111111,-0.02405,0.0,-0.324717,1.830065,-0.5009493450024811,learned
1984_002,1984,gemma,gemma3:4b,0.1423,1.0,0.224067,0.595238,0.46215,1.0,0.38424,0.555556,-0.31985,0.0,-0.160173,0.039682,-0.4879468145027217,learned
1984_003,1984,gemma,gemma3:4b,0.4488,1.0,0.40975,1.785714,0.28595,1.0,0.42418,0.613497,0.16285,0.0,-0.01443,1.172217,0.2593810265023361,learned
1984_004,1984,gemma,gemma3:4b,0.43145,1.0,0.299367,2.906977,0.28595,1.0,0.36886,1.639344,0.1455,0.0,-0.069493,1.267633,0.12087185455262273,learned
1984_005,1984,gemma,gemma3:4b,0.15205,1.0,0.27796,0.628931,0.31845,1.0,0.47252,0.574713,-0.1664,0.0,-0.19456,0.054218,-0.5687818721835805,learned
1984_006,1984,gemma,gemma3:4b,0.40125,1.0,0.3417,0.662252,0.4866,1.0,0.5461,1.036269,-0.08535,0.0,-0.2044,-0.374017,-0.6932226759678964,learned
1984_007,1984,gemma,gemma3:4b,0.4789,1.0,0.40302,1.219512,0.47975,1.0,0.42198,0.591716,-0.00085,0.0,-0.01896,0.627796,0.09738569179377135,learned
1984_008,1984,gemma,gemma3:4b,0.237,1.0,0.097408,2.777778,0.42395,1.0,0.55648,1.111111,-0.18695,0.0,-0.459072,1.666667,-0.9473792418220174,learned
1984_009,1984,gemma,gemma3:4b,0.4648,1.0,0.368046,0.60241,0.3111,1.0,0.3403,0.0,0.1537,0.0,0.027746,0.60241,0.24250921680520204,learned
1984_010,1984,gemma,gemma3:4b,0.3208,1.0,0.33515,1.30719,0.24695,1.0,0.45268,0.502513,0.07385,0.0,-0.11753,0.804677,-0.13839465538813,learned
1984_011,1984,gemma,gemma3:4b,0.4201,1.0,0.293611,0.598802,0.46745,1.0,0.49694,0.0,-0.04735,0.0,-0.203329,0.598802,-0.4498906528747965,learned
1984_012,1984,gemma,gemma3:4b,0.2851,1.0,0.381643,1.388889,0.11315,1.0,0.55494,1.111111,0.17195,0.0,-0.173297,0.277778,-0.41848763261555755,learned
1984_013,1984,gemma,gemma3:4b,0.43825,1.0,0.20112,1.067616,0.47345,1.0,0.53054,0.588235,-0.0352,0.0,-0.32942,0.479381,-0.8439311929693168,learned
1984_014,1984,gemma,gemma3:4b,0.4732,1.0,0.425756,1.685393,0.1591,1.0,0.6777,1.069519,0.3141,0.0,-0.251944,0.615874,-0.5504058645429204,learned
1984_015,1984,gemma,gemma3:4b,0.49345,1.0,0.429029,0.632911,0.48615,1.0,0.65458,0.0,0.0073,0.0,-0.225551,0.632911,-0.5006243895876241,learned
1984_016,1984,gemma,gemma3:4b,0.3527,1.0,0.631667,0.746269,0.42595,1.0,0.393025,1.503759,-0.07325,0.0,0.238642,-0.75749,0.5017103891875867,learned
1984_017,1984,gemma,gemma3:4b,0.4088,1.0,0.553457,1.212121,0.47725,1.0,0.45566,0.0,-0.06845,0.0,0.097797,1.212121,0.5716714600360754,learned
